"","INSTNM","ZIP","st_fips","region","CONTROL","DEBT_MDN_SUPP","GRAD_DEBT_MDN","GRAD_DEBT_N","WDRAW_DEBT_MDN","WDRAW_DEBT_N","mn_earn_wne_p10","md_earn_wne_p10","pct10_earn_wne_p10","pct25_earn_wne_p10","pct75_earn_wne_p10","pct90_earn_wne_p10","ADM_RATE","PCTPELL","C150_4"
"987","Macalester College","55105-1899",27,4,2,19715,20500,460,12419,94,49900,45700,12500,27700,64000,84700,0.3497,0.1682,0.8717
"988","Minnesota State University-Mankato","56001",27,4,1,15000,21250,3073,9500,4093,45700,42700,15200,28500,58800,76700,0.8864,0.2996,0.5009
"989","Mayo Medical School","55905",27,4,2,12500,12500,67,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"990","Mayo School of Health Sciences","55905",27,4,2,12500,12500,67,NA,11,NA,NA,NA,NA,NA,NA,NA,0.0943,NA
"991","Argosy University-Twin Cities","55121",27,4,3,9397,23312,863,8926,22141,41800,38200,8900,23100,56100,75000,NA,0.4821,0.3333
"992","Metropolitan State University","55106-5000",27,4,1,15956,19750,2033,12500,2418,47400,43600,11500,27500,61900,81100,0.9671,0.3581,0.2931
"993","University of Minnesota-Twin Cities","55455-0213",27,4,1,17625,20433.5,7728,14000,6153,54000,47800,16100,32000,67900,91600,0.4659,0.2407,0.7023
"994","University of Minnesota-Crookston","56716-5001",27,4,1,12500,17516,301,8789,559,43700,39900,12000,25200,54500,76000,0.7378,0.218,0.4674
"995","Minneapolis College of Art and Design","55404",27,4,2,23000,25000,241,10559.5,152,37000,31400,8600,15700,49600,75900,0.6355,0.3653,0.6964
"996","Herzing University-Minneapolis","55428-3548",27,4,3,9500,19623,2321,8232,6813,44100,42300,12300,26100,58400,77200,1,0.6515,0.7288
"997","Crossroads College","55902-2382",27,4,2,13751,21058,45,6500,52,30100,27900,NA,NA,NA,NA,0.4058,0.5325,0.2692
"998","University of Minnesota-Duluth","55812",27,4,1,16030,22480.5,2156,9500,2614,50600,43300,15300,30000,61400,84700,0.7637,0.2524,0.5476
"999","University of Minnesota-Morris","56267",27,4,1,13545.5,19692,332,9704,437,42900,38800,11700,25000,53300,76600,0.6189,0.3197,0.6034
"1000","Minnesota School of Business-Richfield","55423",27,4,3,19338,28940,2887,12000,4246,37700,35700,7400,20900,50100,67900,NA,0.5621,0.3099
"1001","Minnesota State University Moorhead","56563",27,4,1,15750,22425,1778,10007,2345,40400,37000,12400,24900,51100,68500,0.6282,0.3304,0.4544
"1002","National American University-Roseville","55113-4035",27,4,3,11351.5,31929,1375,9500,10259,43000,37800,8100,20600,57800,82600,NA,0.7903,0.35
"1003","Brown College-Mendota Heights","55120",27,4,3,15001.5,28486,467,8352,818,36700,33700,8200,20200,49200,64600,NA,0.5563,0.4948
"1004","North Central University","55404-1391",27,4,2,16750,25875,236,11500,583,34200,29600,6500,18900,45000,60100,0.7108,0.4084,0.4085
"1005","Northwestern College","55113-1598",27,4,2,17500,21500,731,11000,730,39300,35300,5400,19200,52900,72500,0.7517,0.3276,0.6324
"1006","Northwestern Health Sciences University","55431",27,4,2,5150,5150,325,5700,119,48900,42500,8200,22300,63200,88100,0.5556,0.1732,0.7857
"1007","Oak Hills Christian College","56601-8834",27,4,2,13125,20435.5,52,9500,56,31100,25500,NA,NA,NA,NA,0.5932,0.7846,0.4865
"1008","College of Saint Benedict","56374",27,4,2,21500,23156,623,9500,208,51000,47600,19600,34200,65100,83200,0.7323,0.2358,0.8108
"1009","Saint Cloud State University","56301-4498",27,4,1,14250,20250,2340,11000,5508,44600,40800,14000,27800,56400,75600,0.8992,0.2892,0.4904
"1010","Saint Johns University","56321",27,4,2,22500,24792,495,15000,243,66200,55900,26100,39400,77000,107400,0.7438,0.1931,0.7987
"1011","Saint Mary's University of Minnesota","55987-1399",27,4,2,17125,22000,567,12000,651,46800,41600,14200,29800,59500,79800,0.719,0.2673,0.6238
"1012","St Olaf College","55057-1098",27,4,2,22210,23000,818,13000,183,50300,44800,14000,28800,63400,92100,0.5295,0.1683,0.8495
"1013","Crown College","55375-9001",27,4,2,17999,24125,212,12500,461,35000,31600,6800,16500,46700,63100,0.777,0.3828,0.5325
